Treatment,Test,Species,Canker.Area
University Park Control,Eco,Chinese,54.97787144
University Park Control,Eco,Chinese,56.54866776
University Park Control,Eco,Chinese,28.27433388
University Park Control,Eco,Chinese,27.48893572
University Park Control,Eco,Chinese,42.41150082
Erie,Eco,Hybrid,731.2056901
Erie,Eco,Hybrid,190.0663555
Erie,Eco,Hybrid,62.83185307
Erie,Eco,Hybrid,791.6813487
Erie,Eco,Hybrid,1288.052988
Erie,Eco,Hybrid,263.8937829
Erie Control,Eco,Hybrid,32.98672286
Erie Control,Eco,Hybrid,28.27433388
Erie Control,Eco,Hybrid,94.24777961
Erie Control,Eco,Hybrid,28.27433388
Erie Control,Eco,Hybrid,28.27433388
Erie Control,Eco,Hybrid,659.7344573
Maryland,Eco,Hybrid,106.0287521
Maryland,Eco,Hybrid,32.98672286
Maryland,Eco,Hybrid,263.8937829
Maryland,Eco,Hybrid,117.8097245
Maryland,Eco,Hybrid,70.68583471
Maryland,Eco,Hybrid,188.4955592
Maryland Control,Eco,Hybrid,19.63495408
Maryland Control,Eco,Hybrid,32.98672286
Maryland Control,Eco,Hybrid,275.6747554
Maryland Control,Eco,Hybrid,28.27433388
Maryland Control,Eco,Hybrid,28.27433388
Maryland Control,Eco,Hybrid,28.27433388
University Park,Eco,Hybrid,86.39379797
University Park,Eco,Hybrid,81.68140899
University Park,Eco,Hybrid,113.0973355
University Park,Eco,Hybrid,69.11503838
University Park,Eco,Hybrid,75.39822369
University Park,Eco,Hybrid,408.407045
University Park Control,Eco,Hybrid,49.48008429
University Park Control,Eco,Hybrid,19.63495408
University Park Control,Eco,Hybrid,28.27433388
University Park Control,Eco,Hybrid,69.11503838
University Park Control,Eco,Hybrid,19.63495408
University Park Control,Eco,Hybrid,23.5619449
Erie,Active,Red,215.9844949
Erie,Active,Red,282.7433388
Erie,Active,Red,387.2012946
Erie,Active,Red,2120.575041
Erie,Active,Red,439.8229715
Erie,Active,Red,259.1813939
Erie,Active,Red,402.9092578
Erie,Active,Red,38.48451001
Erie Control,Active,Red,43.98229715
Erie Control,Active,Red,28.27433388
Erie Control,Active,Red,207.3451151
Erie Control,Active,Red,198.7057353
Erie Control,Active,Red,28.27433388
Erie Control,Active,Red,65.97344573
Erie Control,Active,Red,2356.19449
Erie Control,Active,Red,19.63495408
Maryland,Active,Red,109.9557429
Maryland,Active,Red,109.9557429
Maryland,Active,Red,141.3716694
Maryland,Active,Red,1762.433479
Maryland,Active,Red,224.6238747
Maryland,Active,Red,367.5663405
Maryland,Active,Red,172.7875959
Maryland,Active,Red,129.590697
Maryland Control,Active,Red,
Maryland Control,Active,Red,
Maryland Control,Active,Red,19.63495408
Maryland Control,Active,Red,362.8539515
Maryland Control,Active,Red,1001.382658
Maryland Control,Active,Red,54.97787144
Maryland Control,Active,Red,37.69911184
Maryland Control,Active,Red,28.27433388
University Park,Active,Red,230.90706
University Park,Active,Red,358.1415625
University Park,Active,Red,316.5154598
University Park,Active,Red,486.9468613
University Park,Active,Red,155.5088364
University Park,Active,Red,113.0973355
University Park,Active,Red,341.6482011
University Park,Active,Red,37.69911184
University Park Control,Active,Red,28.27433388
University Park Control,Active,Red,125.6637061
University Park Control,Active,Red,54.97787144
University Park Control,Active,Red,
University Park Control,Active,Red,82.46680716
University Park Control,Active,Red,38.48451001
University Park Control,Active,Red,
University Park Control,Active,Red,23.5619449
Erie,Active,Pin,1330.464489
Erie,Active,Pin,3063.052837
Erie,Active,Pin,54.97787144
Erie,Active,Pin,37.69911184
Erie,Active,Pin,816.8140899
Erie,Active,Pin,62.83185307
Erie,Active,Pin,
Erie,Active,Pin,54.97787144
Erie Control,Active,Pin,188.4955592
Erie Control,Active,Pin,196.3495408
Erie Control,Active,Pin,23.5619449
Erie Control,Active,Pin,28.27433388
Erie Control,Active,Pin,23.5619449
Erie Control,Active,Pin,32.98672286
Erie Control,Active,Pin,23.5619449
Erie Control,Active,Pin,
Maryland,Active,Pin,215.9844949
Maryland,Active,Pin,
Maryland,Active,Pin,81.68140899
Maryland,Active,Pin,578.0530483
Maryland,Active,Pin,2238.384766
